Gene,T1_fc,T1_padj,T2_fc,T2_padj,T3_fc,T3_padj,arabi-defline
Sevir.1G008000,-0.503635198,0.958618859,0.218641988,0.536265169,0.13418706,0.999694537,Protein of unknown function (DUF502)
Sevir.1G008100,-0.678467578,NA,1.620310357,NA,-0.074893841,0.999694537,expansin 11
Sevir.1G008200,-1.294525487,NA,0.136224717,NA,-1.037024366,0.999694537,expansin 11
Sevir.1G008300,-6.084676256,0.035376658,-0.140089922,0.889088612,0.907751623,0.999694537,Transducin family protein / WD-40 repeat family protein
Sevir.1G008400,-6.456563572,0.349966929,0.045811376,NA,NA,NA,expansin 11
Sevir.1G008500,0.451448355,0.958618859,0.087161569,0.7167224,-0.199929955,0.999694537,plastidic type i signal peptidase 1
Sevir.1G008600,-7.875133235,0.26619706,NA,NA,NA,NA,senescence-associated gene 12
Sevir.1G008700,1.150395213,0.958618859,-0.963622494,2.03E-07,-0.385347484,0.999694537,Leucine-rich repeat protein kinase family protein
Sevir.1G008801,1.180982098,0.958618859,0.26454931,0.465224155,0.129729525,0.999694537,Adenine nucleotide alpha hydrolases-like superfamily protein
Sevir.1G008900,NA,NA,-0.826079138,NA,NA,NA,NA
Sevir.1G009000,-0.994680223,0.958618859,-0.189773974,0.488882736,-0.092320798,0.999694537,AAA-type ATPase family protein / ankyrin repeat family protein
Sevir.1G009100,0.114837521,0.986764377,0.072188651,0.887653529,0.178890741,0.999694537,Pentatricopeptide repeat (PPR-like) superfamily protein
Sevir.1G009200,0.047683157,0.994158142,0.099201853,0.772800168,0.108916883,0.999694537,C2H2 and C2HC zinc fingers superfamily protein
Sevir.1G009300,0.797132464,0.958618859,-0.02933986,0.964747391,-0.017089472,0.999694537,phosphoribosylanthranilate isomerase 1
Sevir.1G009400,0.947669156,0.958618859,-0.129135694,0.731289317,0.051319767,0.999694537,VIRB2-interacting protein 2
Sevir.1G009500,NA,NA,NA,NA,NA,NA,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Sevir.1G009600,1.362687644,NA,-0.972445128,NA,-0.979245625,0.999694537,glutamate receptor 2.7
Sevir.1G009700,0.77538204,0.958618859,0.123703514,0.478701016,0.067670802,0.999694537,NA
Sevir.1G009900,-1.220753811,0.958618859,0.087990254,0.783063462,-0.036739354,0.999694537,Calcineurin-like metallo-phosphoesterase superfamily protein
Sevir.1G010000,NA,NA,NA,NA,NA,NA,NA
Sevir.1G010100,1.350109809,0.958618859,-0.260489798,0.6955977,0.055792211,0.999694537,WRKY family transcription factor
Sevir.1G010200,-3.155327143,0.894217096,-0.730210693,NA,0.549674269,0.999694537,arabinogalactan protein 16
Sevir.1G010300,1.019151275,NA,-0.222180559,0.843731098,0.097965073,0.999694537,NA
Sevir.1G010400,-1.295420063,NA,NA,NA,NA,NA,expansin 11
Sevir.1G010500,NA,NA,1.097474214,NA,2.375025235,0.999694537,expansin 11
Sevir.1G010600,1.11984794,0.958618859,0.114648232,0.681117543,0.200335139,0.999694537,NA
Sevir.1G010700,-1.406204779,NA,-0.191200903,NA,0.840498372,0.999694537,expansin 11
Sevir.1G010800,1.526474628,NA,0.478388156,0.680592043,0.077818149,0.999694537,TTF-type zinc finger protein with HAT dimerisation domain
Sevir.1G010900,-0.399823481,NA,-0.509599435,NA,2.444935839,0.999694537,F-box and associated interaction domains-containing protein
Sevir.1G010950,0.529563882,NA,0.657455057,NA,0.487908574,0.999694537,NA
Sevir.1G011000,1.543508345,0.958618859,0.614447742,0.075081674,0.139627523,0.999694537,copper ion binding
Sevir.1G011066,-6.544850856,0.397458213,1.406245281,NA,-0.05398968,0.999694537,tRNAse Z1
Sevir.1G011132,NA,NA,NA,NA,1.410788394,0.999694537,tRNAse Z1
Sevir.1G011200,-0.016468059,0.99776724,-0.408620439,0.475988814,0.04170044,0.999694537,plastid division1
Sevir.1G011300,-2.799999347,NA,0.143370976,NA,-2.420405165,0.999694537,NA
Sevir.1G011366,0.092915062,NA,-1.033940142,NA,-0.878836237,0.999694537,NA
Sevir.1G011432,1.022641412,0.958618859,-0.149434311,0.566261426,0.221423413,0.999694537,NB-ARC domain-containing disease resistance protein
Sevir.1G011500,-0.636552844,0.958618859,0.189434814,0.680579257,-0.088856363,0.999694537,tRNAse Z1
Sevir.1G011550,1.89267527,0.958618859,0.088430366,0.721247622,-0.02342432,0.999694537,LRR and NB-ARC domains-containing disease resistance protein
Sevir.1G011600,-2.799999347,NA,-0.330778169,NA,-0.102679285,0.999694537,NA
Sevir.1G011700,0.044755778,0.996560689,-0.496482675,0.146107075,-0.154733564,0.999694537,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
Sevir.1G011750,-3.551381552,NA,-1.707644289,NA,1.676333104,0.999694537,NA
Sevir.1G011800,-0.549594203,0.958618859,-0.069053036,0.809813268,-0.01378759,0.999694537,POZ/BTB containin G-protein 1
Sevir.1G011900,0.04498894,0.994158142,0.037211219,0.94359159,0.012436525,0.999694537,NA
Sevir.1G012000,0.380287527,0.95881263,0.219148841,0.44368304,-0.203556968,0.999694537,Galactose oxidase/kelch repeat superfamily protein
Sevir.1G012100,1.582497027,0.958618859,-0.26210312,0.293641079,-0.192887369,0.999694537,BCL-2-associated athanogene 6
Sevir.1G012200,NA,NA,NA,NA,NA,NA,NA
Sevir.1G012300,-1.928034336,0.958618859,0.145986391,0.613274494,-0.378254122,0.999694537,Ribosomal protein L21
Sevir.1G012350,0.624131768,NA,-0.014739631,NA,-0.097984689,0.999694537,NA
Sevir.1G012400,1.365594671,0.958618859,0.347998538,0.015847002,-0.141349239,0.999694537,NA
Sevir.1G012500,-0.688748462,NA,-2.719936303,NA,-0.655643349,0.999694537,NA
Sevir.1G012600,1.472368789,0.958618859,0.012984528,0.967154793,-0.14694243,0.999694537,Ankyrin repeat family protein
Sevir.1G012650,-2.799999347,NA,1.929427403,NA,-1.97965687,0.999694537,NA
Sevir.1G012700,-1.278279308,0.958618859,-0.186464903,0.728152277,0.067710824,0.999694537,Protein of unknown function (DUF3133)
Sevir.1G012800,-4.99071826,0.069720223,-0.077591462,0.967195446,0.872733247,0.999694537,HMG (high mobility group) box protein
Sevir.1G012900,-1.775354821,NA,-1.037126995,NA,2.448961283,0.999694537,NA
Sevir.1G013000,0.094433695,0.993450244,-0.110491778,0.938842258,0.055096104,0.999694537,NA
Sevir.1G013100,-4.82963428,NA,-0.455036186,NA,0.343860798,0.999694537,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Sevir.1G013200,1.528621733,0.958618859,-0.007414003,0.980049332,-0.348317473,0.999694537,thylakoid rhodanese-like
Sevir.1G013300,NA,NA,NA,NA,NA,NA,NA
Sevir.1G013400,1.31462128,0.958618859,0.082735879,0.816932338,-0.082864505,0.999694537,NA
Sevir.1G013450,1.339019996,0.958618859,-0.042942637,0.971667846,-0.019671201,0.999694537,NA
Sevir.1G013500,NA,NA,NA,NA,0.886528986,0.999694537,RING/U-box superfamily protein
Sevir.1G013600,NA,NA,NA,NA,NA,NA,RING/U-box superfamily protein
Sevir.1G013700,-4.794177922,0.161636297,-1.562753146,NA,0.161456165,0.999694537,Pectin lyase-like superfamily protein
Sevir.1G013800,0.257908274,0.96435708,-0.07843656,0.770094187,-0.031715491,0.999694537,regulatory components of ABA receptor 3
Sevir.1G013900,NA,NA,NA,NA,NA,NA,NA
Sevir.1G014000,-0.185461802,0.97681733,-0.087535659,0.884293304,-0.309593626,0.999694537,Zinc finger (CCCH-type/C3HC4-type RING finger) family protein
Sevir.1G014100,-0.174718227,0.979205694,0.001339805,0.998147512,-0.079964261,0.999694537,Protein phosphatase 2C family protein
Sevir.1G014200,0.390252301,0.958618859,-0.011154197,0.979637911,-0.016664254,0.999694537,cyclic nucleotide gated channel 1
Sevir.1G014250,-7.446396844,NA,-0.826079138,NA,-0.184353821,0.999694537,NA
Sevir.1G014300,-0.500626709,NA,0.188846786,NA,-2.062507776,0.999694537,cyclic nucleotide gated channel 1
Sevir.1G014400,0.336774544,0.959532542,0.040962561,0.899757383,0.060160855,0.999694537,spermidine synthase 3
Sevir.1G014500,-1.000254123,0.958618859,-0.030515598,0.952415331,0.027222084,0.999694537,Ribosomal RNA processing Brix domain protein
Sevir.1G014600,-0.06310529,0.99485644,-1.085518051,0.020592974,-0.286017506,0.999694537,NA
Sevir.1G014700,NA,NA,-1.296701253,NA,2.093476957,0.999694537,NA
Sevir.1G014800,0.735154597,0.958618859,-0.952231717,0.000482633,-0.47124732,0.999694537,Plant protein of unknown function (DUF247)
Sevir.1G014900,NA,NA,1.097474214,NA,NA,NA,NA
Sevir.1G015000,NA,NA,-1.325749122,NA,NA,NA,NA
Sevir.1G015100,0.601191209,0.959532542,-0.585220057,0.005496403,-0.437688089,0.999694537,Plant protein of unknown function (DUF247)
Sevir.1G015200,-3.551381552,NA,-0.826079138,NA,NA,NA,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
Sevir.1G015250,1.357805896,NA,-0.420550467,0.492516,0.31342814,0.999694537,Rhomboid-related intramembrane serine protease family protein
Sevir.1G015300,1.220888111,0.958618859,-0.531271212,5.41E-08,0.078209336,0.999694537,Rhomboid-related intramembrane serine protease family protein
Sevir.1G015400,1.443015957,0.958618859,-0.242940658,0.697307927,-0.199188829,0.999694537,NA
Sevir.1G015450,-0.179450795,NA,-1.01046173,NA,-1.833604789,0.999694537,"ATPase, F1 complex, gamma subunit protein"
Sevir.1G015500,1.068121902,0.958618859,0.068916945,0.9246909,0.175011946,0.999694537,dual specificity protein phosphatase-related
Sevir.1G015600,1.129254932,0.958618859,0.296694743,0.656487755,-0.135034001,0.999694537,NA
Sevir.1G015650,0.969369824,NA,0.080812576,0.950303844,-0.531924612,0.999694537,NA
Sevir.1G015700,-2.799999347,NA,-2.370718506,NA,-0.833342254,0.999694537,late embryogenesis abundant domain-containing protein / LEA domain-containing protein
Sevir.1G015750,0.612950581,NA,0.984904649,NA,-0.795118771,0.999694537,Protein kinase family protein with leucine-rich repeat domain
Sevir.1G015801,0.45040064,NA,-0.524492614,0.65052534,-0.53804119,0.999694537,Protein kinase family protein with leucine-rich repeat domain
Sevir.1G015851,0.437746437,NA,1.097474214,NA,NA,NA,Protein kinase superfamily protein
Sevir.1G015900,-1.604674763,0.958618859,0.057730349,0.875117912,0.028526137,0.999694537,GDSL-like Lipase/Acylhydrolase superfamily protein
Sevir.1G016000,1.917935452,0.958618859,0.033633609,0.914545174,0.21716192,0.999694537,global transcription factor group E4
Sevir.1G016200,NA,NA,NA,NA,-2.605597184,0.999694537,NA
Sevir.1G016300,-0.18621986,0.979803692,0.02198284,0.962691165,0.146800058,0.999694537,global transcription factor group E4
Sevir.1G016400,NA,NA,NA,NA,NA,NA,NA
Sevir.1G016500,-0.543483553,NA,-0.693847902,NA,-0.792418687,0.999694537,HXXXD-type acyl-transferase family protein
Sevir.1G016600,1.745052728,0.958618859,-0.057916289,0.820583427,-0.342097999,0.999694537,photosynthetic electron transfer C
Sevir.1G016700,-2.799999347,NA,-0.826079138,NA,NA,NA,NA
Sevir.1G016800,1.580349511,NA,-0.212358163,0.871755323,-0.647807614,0.999694537,RING/U-box superfamily protein
Sevir.1G016850,NA,NA,-0.186621288,NA,2.135224314,0.999694537,NA
Sevir.1G016900,2.231708887,NA,-0.342579388,0.775290656,0.22868708,0.999694537,RING/U-box superfamily protein
Sevir.1G017000,-3.245674901,NA,0.777546551,NA,-1.037024366,0.999694537,TOXICOS EN LEVADURA 2
Sevir.1G017100,NA,NA,NA,NA,NA,NA,RING/U-box superfamily protein
Sevir.1G017150,NA,NA,1.097474214,NA,NA,NA,NA
Sevir.1G017200,-2.799999347,NA,-0.826079138,NA,NA,NA,RING/U-box superfamily protein
Sevir.1G017400,NA,NA,NA,NA,NA,NA,RING/U-box superfamily protein
Sevir.1G017500,-0.399823481,NA,-0.826079138,NA,0.886528986,0.999694537,RING/U-box superfamily protein
Sevir.1G017600,-1.347227839,0.958618859,0.42597832,0.092352508,0.114752498,0.999694537,NAD(P)-linked oxidoreductase superfamily protein
Sevir.1G017700,-0.564185965,NA,-0.489637689,NA,0.95759154,0.999694537,RING/U-box superfamily protein
Sevir.1G017800,-3.551381552,NA,1.097474214,NA,NA,NA,NA
Sevir.1G017900,-0.009840673,NA,-1.129994261,NA,0.063954247,0.999694537,RING/U-box superfamily protein
Sevir.1G018000,NA,NA,1.097474214,NA,0.886528986,0.999694537,RING/U-box superfamily protein
Sevir.1G018100,-1.287636083,NA,1.980011685,NA,0.886528986,0.999694537,Protein of unknown function (DUF2921)
Sevir.1G018200,-2.799999347,NA,0.138281098,NA,2.213144346,0.999694537,RING/U-box superfamily protein
Sevir.1G018300,-0.500626709,NA,NA,NA,NA,NA,carbon/nitrogen insensitive 1
Sevir.1G018400,-2.462011244,NA,0.871402927,NA,0.509565055,0.999694537,Protein of unknown function (DUF2921)
Sevir.1G018500,NA,NA,NA,NA,NA,NA,RING/U-box superfamily protein
Sevir.1G018600,-1.301298828,NA,0.134953499,NA,NA,NA,carbon/nitrogen insensitive 1
Sevir.1G018700,-0.399823481,NA,-1.232817535,NA,-0.631160259,0.999694537,NA
Sevir.1G018800,-1.911258021,0.958618859,-0.276242477,0.789663934,0.906637219,0.999694537,Heavy metal transport/detoxification superfamily protein 
Sevir.1G018900,-3.522989427,0.566717363,-0.251359466,NA,-0.592801047,0.999694537,transcription initiation factor IIA gamma chain / TFIIA-gamma (TFIIA-S)
Sevir.1G019000,-0.280098684,0.965404003,0.07559083,0.835448922,0.060379734,0.999694537,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Sevir.1G019100,NA,NA,2.12681146,NA,NA,NA,NA
Sevir.1G019201,NA,NA,-1.80507812,NA,NA,NA,NA
Sevir.1G019300,0.925030143,0.958618859,-0.912009264,0.018012987,-0.567746933,0.999694537,"cytochrome P450, family 93, subfamily D, polypeptide 1"
Sevir.1G019400,-0.046401658,0.994158142,0.274543992,0.284394851,-0.160529528,0.999694537,sodium/calcium exchanger family protein / calcium-binding EF hand family protein
Sevir.1G019500,-4.731865884,0.072704529,-1.500809612,NA,0.310916796,0.999694537,Basic-leucine zipper (bZIP) transcription factor family protein
Sevir.1G019600,-0.565099355,0.958618859,0.244206799,0.380177075,0.24199115,0.999694537,glucan synthase-like 4
Sevir.1G019700,-1.283466079,NA,-0.494936807,NA,-1.564985811,0.999694537,NA
Sevir.1G019800,0.469464884,0.963747805,-0.045761931,0.92440102,-0.154069459,0.999694537,prefoldin 6
Sevir.1G019900,-0.500626709,NA,0.402843654,NA,0.689173417,0.999694537,NA
Sevir.1G020000,3.410462261,NA,-0.04777812,NA,-2.245451163,0.999694537,NA
Sevir.1G020050,1.444255425,NA,-0.202353167,NA,-0.139303114,0.999694537,NA
Sevir.1G020100,0.594092795,0.958618859,-0.172921514,0.388777855,-0.126343218,0.999694537,potassium channel in Arabidopsis thaliana 1
Sevir.1G020200,1.427438941,0.958618859,-0.234967796,0.731289317,-0.947295809,0.999694537,NA
Sevir.1G020250,-6.535231129,NA,-0.829369831,NA,1.033514281,0.999694537,NA
Sevir.1G020300,-0.390938856,0.958618859,-0.129093944,0.740421857,0.068823682,0.999694537,RING/U-box superfamily protein
Sevir.1G020400,0.504789052,0.958618859,0.115403741,0.58654195,0.082538662,0.999694537,ubiquitin-specific protease 15
Sevir.1G020500,0.07920955,0.99083559,-0.761145031,9.02E-07,-0.248895988,0.999694537,CTC-interacting domain 9
Sevir.1G020600,-1.29006683,0.958618859,0.006699138,0.985188127,-0.028621534,0.999694537,phosphoenolpyruvate carboxylase 3
Sevir.1G020700,NA,NA,-3.341125027,NA,-0.069517748,0.999694537,NA
Sevir.1G020800,-1.304112828,NA,0.416436841,NA,-0.121373653,0.999694537,DORNROSCHEN-like
Sevir.1G020900,1.543727594,NA,-0.00032163,0.999799599,0.097584045,0.999694537,NA
Sevir.1G020950,0.618842748,NA,0.261936971,NA,-2.124008373,0.999694537,NA
Sevir.1G021000,-0.069706954,0.992410524,-0.121997199,0.773317852,-0.589948327,0.999694537,NA
Sevir.1G021100,NA,NA,NA,NA,NA,NA,UDP-Glycosyltransferase superfamily protein
Sevir.1G021200,-0.442037224,NA,0.523442943,NA,2.370362213,0.999694537,UDP-Glycosyltransferase superfamily protein
Sevir.1G021250,-0.500626709,NA,0.133011474,NA,1.847668553,0.999694537,NA
Sevir.1G021300,-1.11859701,NA,0.739947561,NA,-0.142166843,0.999694537,UDP-Glycosyltransferase superfamily protein
Sevir.1G021400,0.629510602,0.958618859,-0.020664754,0.951757609,0.105114279,0.999694537,Mitogen activated protein kinase kinase kinase-related
Sevir.1G021500,-0.193446524,0.980841118,0.226991708,0.745031693,-0.299621368,0.999694537,myb-like HTH transcriptional regulator family protein
Sevir.1G021600,-2.799999347,NA,NA,NA,NA,NA,NA
Sevir.1G021700,1.395080789,0.958618859,-0.673136429,0.00065512,-0.068517438,0.999694537,Leucine-rich repeat protein kinase family protein
Sevir.1G021800,NA,NA,-0.826079138,NA,NA,NA,domains rearranged methyltransferase 2
Sevir.1G021900,NA,NA,NA,NA,NA,NA,NA
Sevir.1G022000,NA,NA,-1.599085,NA,NA,NA,Dof-type zinc finger DNA-binding family protein
Sevir.1G022100,-8.897123798,0.141863186,NA,NA,4.211753864,0.999694537,NA
Sevir.1G022200,NA,NA,0.139224814,NA,NA,NA,Leucine-rich repeat protein kinase family protein
Sevir.1G022300,-5.777825533,NA,NA,NA,NA,NA,Peroxidase superfamily protein
Sevir.1G022400,0.323294321,NA,NA,NA,NA,NA,Peroxidase superfamily protein
Sevir.1G022500,NA,NA,NA,NA,NA,NA,NA
Sevir.1G022600,0.484145964,0.965681767,0.387607126,NA,0.392618511,0.999694537,peroxidase 2
Sevir.1G022700,1.733704192,0.958618859,-0.052692106,0.885373129,-0.862595204,0.999694537,Peroxidase superfamily protein
Sevir.1G022800,-1.162173189,NA,0.57939105,NA,0.27350835,0.999694537,NA
Sevir.1G022900,-1.579972287,NA,0.113247539,NA,1.479901169,0.999694537,NA
