Gene,T1_fc,T1_padj,T2_fc,T2_padj,T3_fc,T3_padj,arabi-defline
Bradi1g00415,-0.806749564,NA,-1.666516808,NA,0.094528651,NA,NA
Bradi1g00417,1.447756076,0.890626694,-0.501352227,0.925836936,0.141982927,0.846920475,NA
Bradi1g00427,0.310509454,0.890626694,-0.030267765,0.995608985,0.205880511,0.661987578,RAD3-like DNA-binding helicase protein
Bradi1g00438,NA,NA,-3.637409316,NA,0.714098308,NA,NA
Bradi1g00450,-0.910945868,0.890626694,0.211216888,0.964068504,0.148047175,0.777977629,Ypt/Rab-GAP domain of gyp1p superfamily protein
Bradi1g00455,-3.199633489,NA,-0.710612076,NA,2.597568854,NA,NA
Bradi1g00460,0.868982061,0.890626694,0.42478105,0.878551793,-0.212962859,0.551675273,pleiotropic drug resistance 11
Bradi1g00470,0.742297034,0.890626694,0.344002123,0.954583963,-0.243147912,0.561976185,glutathione S-transferase THETA 1
Bradi1g00480,0.112071999,0.897532117,0.511111004,0.840261987,0.178255606,0.580988216,NA
Bradi1g00482,0.565460745,NA,-0.002155817,0.999937378,0.442485463,0.749247684,NA
Bradi1g00485,0.674299472,NA,-0.0996699,0.991144404,-0.598634681,0.609111364,Nuclear transport factor 2 (NTF2) family protein
Bradi1g00491,0.706597945,NA,0.397481647,0.937349242,-0.297089118,0.793893308,Pentatricopeptide repeat (PPR) superfamily protein
Bradi1g00497,0.937816818,0.890626694,0.13882953,0.976134246,-0.081141721,0.885097633,F-box family protein
Bradi1g00510,0.509601414,0.891038154,0.288719558,0.956478951,-0.058893199,0.94010504,LUC7 N_terminus domain-containing protein
Bradi1g00517,0.95536185,0.890626694,0.494386645,0.910233719,0.489442945,0.021510782,RNA-binding (RRM/RBD/RNP motifs) family protein
Bradi1g00530,0.562709758,0.890626694,0.230346775,0.956478951,0.333646701,0.508617529,Rhodanese/Cell cycle control phosphatase superfamily protein
Bradi1g00535,0.184661199,NA,0.077382059,NA,-0.481503481,NA,NA
Bradi1g00540,0.806611236,NA,-0.911424029,0.954583963,-1.034462004,NA,Heavy metal transport/detoxification superfamily protein 
Bradi1g00552,-5.889418383,NA,1.048878705,0.987552839,-0.043664451,NA,plasma membrane intrinsic protein 2;5
Bradi1g00560,0.557291926,0.890626694,-0.13739172,0.9909764,-0.485064026,0.139585777,COP1-interacting protein-related
Bradi1g00563,0.493640186,NA,0.274325531,0.986334077,-0.419530007,NA,NA
Bradi1g00567,-0.069966199,0.932992604,0.1709049,0.964068504,0.136173345,0.70088192,LEUNIG_homolog
Bradi1g00580,0.614645002,0.890626694,0.158961171,0.964068504,-0.176477814,0.642009673,Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
Bradi1g00587,0.486165764,NA,0.742289529,0.823455227,-0.261038744,0.672787197,Flavin-binding monooxygenase family protein
Bradi1g00600,0.184661199,NA,-0.74650499,NA,-0.535018361,NA,AWPM-19-like family protein
Bradi1g00607,-3.033924743,NA,-0.950019224,0.932362976,-0.112214416,0.955314506,myosin XI B
Bradi1g00620,0.638026015,0.890626694,0.331465246,0.9386042,0.492327924,0.093382428,ubiquitin-conjugating enzyme 5
Bradi1g00625,0.396463745,NA,-0.67220771,NA,-0.667828341,NA,NA
Bradi1g00630,1.530449211,NA,0.388060108,NA,-0.09081926,NA,NA
Bradi1g00642,0.958572962,NA,-2.207455121,NA,0.028811876,NA,NA
Bradi1g00654,0.217185875,NA,-0.578188518,NA,-0.000978058,NA,nodulin MtN21 /EamA-like transporter family protein
Bradi1g00666,-1.76365124,NA,0.501339631,NA,2.439397871,0.033081491,ethylene response factor 1
Bradi1g00672,NA,NA,-3.589150364,NA,-0.906188656,NA,NA
Bradi1g00678,0.379205707,NA,0.485146142,0.807629282,0.425383418,0.242416172,RNA-binding ASCH domain protein
Bradi1g00690,0.278571809,0.891038154,0.762432508,0.644452524,0.820036471,0.00592373,type one protein phosphatase 1
Bradi1g00700,-0.180305957,0.893141489,0.559216378,0.866378365,0.159520475,0.657190929,phosphate transporter 1;7
Bradi1g00710,1.16823104,0.890626694,-0.238825363,0.968998471,-0.100785566,0.904437517,"Protein of unknown function, DUF547"
Bradi1g00720,0.252332716,NA,-0.245719026,0.96673644,-0.195669296,0.789407593,Cysteine proteinases superfamily protein
Bradi1g00730,-0.261924125,0.890626694,-0.535485737,0.910233719,0.239188865,0.490331513,chaperonin-60alpha
Bradi1g00740,1.116424069,0.890626694,-0.250546973,0.962758868,-0.488484978,0.16879893,Thioesterase superfamily protein
Bradi1g00750,-0.77838569,0.890626694,0.432154303,0.935945419,0.19255683,0.502840126,RNApolymerase sigma-subunit F
Bradi1g00760,0.948208197,0.890626694,-0.93262542,0.590662477,-0.205032324,0.866201507,ABC-2 type transporter family protein
Bradi1g00770,-0.389300762,NA,-4.202596141,NA,-0.512918252,NA,Heavy metal transport/detoxification superfamily protein 
Bradi1g00780,1.195085789,NA,0.10819115,0.987552839,-0.305713621,0.709622169,MATE efflux family protein
Bradi1g00785,1.616401776,NA,0.606603913,0.93240953,-0.565424569,NA,NA
Bradi1g00790,1.109478442,NA,-0.633271811,0.89620351,-0.087236729,0.947113555,GDSL-like Lipase/Acylhydrolase superfamily protein
Bradi1g00800,NA,NA,-0.914261853,NA,2.009005426,NA,NA
Bradi1g00807,1.571128313,NA,-2.976880374,NA,-0.870105502,NA,GDSL-like Lipase/Acylhydrolase superfamily protein
Bradi1g00820,0.934241856,0.890626694,-0.412814626,0.946509525,-0.304302891,0.509041378,winged-helix DNA-binding transcription factor family protein
Bradi1g00830,-0.303712835,0.890626694,0.000329115,0.999963019,0.118755396,0.89726602,NA
Bradi1g00840,0.932854679,NA,-0.746226888,0.751039305,-0.392240203,0.658449129,Protein of unknown function (DUF668)
Bradi1g00847,0.324704144,0.890626694,-0.12414212,0.987181414,0.180229449,0.734748282,Transducin/WD40 repeat-like superfamily protein
Bradi1g00860,-0.074108008,0.95387144,0.262603804,0.954583963,0.283977361,0.491809409,indigoidine synthase A family protein
Bradi1g00867,NA,NA,-0.713216192,NA,0.299174207,NA,Ribosomal protein L2 family
Bradi1g00880,1.140801728,NA,-0.522968013,0.932362976,-0.599585301,0.652804206,NA
Bradi1g00887,-0.125987295,0.891038154,-0.1548889,0.981328184,-0.1248656,0.755879944,exportin 1A
Bradi1g00900,0.989319849,0.890626694,-1.356082317,0.518282893,0.06836181,0.941595092,Putative lysine decarboxylase family protein
Bradi1g00910,-3.775797796,0.240147576,0.40883418,0.937595072,0.138180731,0.906146709,NA
Bradi1g00920,1.019659834,0.890626694,-1.684541433,0.82389941,-1.174510015,NA,Domain of unknown function (DUF303) 
Bradi1g00931,1.022597332,NA,-1.221390977,0.929321981,-0.272357234,0.889607629,Domain of unknown function (DUF303) 
Bradi1g00940,-2.022381464,0.64531267,0.269860904,0.965893212,-0.188735393,0.552084185,PGR5-LIKE A
Bradi1g00950,0.533629443,NA,-0.042736819,0.994447684,-1.156781619,0.000666865,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Bradi1g00960,0.657105011,0.907126917,0.648478989,0.81347742,0.042923666,0.931424653,LRR and NB-ARC domains-containing disease resistance protein
Bradi1g00970,0.336347508,NA,-2.486388675,0.098008693,-0.094929442,0.941924707,phloem protein 2-B10
Bradi1g00980,1.075718705,0.890626694,-0.762088378,0.798261199,-0.032299462,0.953488047,"30S ribosomal protein, putative"
Bradi1g00990,0.234552187,0.890626694,-0.02925804,0.9941591,-0.175449455,0.653140801,homolog of yeast sucrose nonfermenting 4
Bradi1g01000,1.132950027,0.890626694,-1.20495458,0.738092479,-0.071031528,0.956028374,acyl carrier protein 1
Bradi1g01007,-0.217609078,0.894867471,-0.158700882,0.987552839,-0.197429478,0.837868035,Ku80 family protein
Bradi1g01014,-0.363100972,0.890626694,0.326381344,0.932362976,0.429135601,0.227295637,SNARE-like superfamily protein
Bradi1g01021,0.237492571,0.890626694,0.050353796,0.993544136,0.36721478,0.205344871,pentatricopeptide (PPR) repeat-containing protein
Bradi1g01030,NA,NA,0.030481487,NA,0.217903157,NA,RAD-like 6
Bradi1g01040,-0.806120517,NA,-3.293068323,NA,0.275132108,NA,casein lytic proteinase B4
Bradi1g01047,1.375768207,0.890626694,-0.128383843,0.98490663,-0.043539614,0.947113555,NA
Bradi1g01058,1.42640528,NA,-2.144527569,0.632979913,-0.273142884,NA,WRKY DNA-binding protein 35
Bradi1g01070,0.082236995,0.962268874,-0.704636976,0.926372051,-0.894785481,0.234122773,CDK inhibitor P21 binding protein
Bradi1g01075,NA,NA,-3.063694147,NA,0.383239468,NA,NA
Bradi1g01080,1.452967466,0.890626694,-0.342235217,0.960146759,0.171999498,0.797948851,AIG2-like (avirulence induced gene) family protein
Bradi1g01090,0.218587029,0.890626694,-0.022238561,0.997415443,0.132408378,0.742028216,ARF-GAP domain 9
Bradi1g01100,0.443170699,NA,0.017764486,0.998521929,-0.296390624,0.72412188,Ribosomal protein S5 domain 2-like superfamily protein
Bradi1g01110,1.056094273,0.890626694,-0.3049324,0.962725578,-0.416100539,0.409396499,RNA-binding (RRM/RBD/RNP motifs) family protein
Bradi1g01120,1.375041869,NA,-0.631646326,0.947688215,-0.700152742,0.649413579,Ribonuclease III family protein
Bradi1g01130,0.250749316,0.890626694,0.299064156,0.954583963,0.031144776,0.952201598,heat shock transcription factor A1D
Bradi1g01140,0.576593826,0.890626694,-0.667080057,0.932362976,-0.186825026,0.856001162,cleavage and polyadenylation specificity factor 73-I
Bradi1g01150,1.079671244,NA,-0.557018136,0.971237584,-1.185723984,NA,xyloglucan endotransglucosylase/hydrolase 30
Bradi1g01160,-0.131406627,NA,-1.209638667,NA,0.012335663,NA,NA
Bradi1g01170,0.7643828,0.890626694,0.735961765,0.861126073,-0.742013173,0.0395912,WWE protein-protein interaction domain protein family
Bradi1g01172,-2.399696208,NA,-2.728780211,NA,-1.545573188,NA,NA
Bradi1g01174,-2.399131239,NA,-0.627356188,NA,1.579114769,NA,FIZZY-related 2
Bradi1g01176,-0.806749564,NA,0.691763995,NA,1.266139659,NA,NA
Bradi1g01178,NA,NA,-0.444255652,NA,0.274866548,NA,NA
Bradi1g01180,0.352036643,NA,-0.401074727,NA,0.034199408,NA,heat shock protein 101
Bradi1g01190,0.68562931,NA,-0.33610551,0.98490663,0.472439102,NA,non-specific phospholipase C4
Bradi1g01200,0.592506352,0.890626694,-0.00978642,0.999003735,-0.259501658,0.762259605,cleavage and polyadenylation specificity factor 73-I
Bradi1g01210,1.061160107,NA,-1.343458753,0.418916761,-0.700978453,0.63933093,DZC (Disease resistance/zinc finger/chromosome condensation-like region) domain containing protein
Bradi1g01220,0.83906029,0.890626694,-0.894038206,0.879551798,-0.220325218,0.879095171,Ribonuclease P protein subunit P38-related
Bradi1g01227,0.964360556,0.890626694,-0.024406108,0.997830206,-0.328566413,0.500743237,NA
Bradi1g01240,-0.081432047,NA,-3.375345982,NA,1.211355289,NA,heat shock protein 101
Bradi1g01250,-0.442747084,0.890626694,-0.158875913,0.984862487,-0.307436465,0.543056797,NB-ARC domain-containing disease resistance protein
Bradi1g01257,0.794375279,0.890626694,0.125330744,0.986361881,-0.42837138,0.214809139,NB-ARC domain-containing disease resistance protein
Bradi1g01270,1.122834784,NA,0.513823496,0.926372051,-0.121703092,0.92021605,hydroxyproline-rich glycoprotein family protein
Bradi1g01280,0.414548375,NA,0.188983474,0.981869448,-0.854791488,0.380707324,Tetratricopeptide repeat (TPR)-like superfamily protein
Bradi1g01290,-0.747337938,0.890626694,-0.060508678,0.992450336,0.316369051,0.385431679,DERLIN-2.2
Bradi1g01300,0.637384879,NA,-0.685230248,0.9615271,0.314680723,NA,"nuclear factor Y, subunit C10"
Bradi1g01305,-1.369776669,NA,-2.840973885,NA,-0.085299398,NA,NA
Bradi1g01310,1.142733246,NA,-0.469788013,0.968998471,0.218965365,0.859579155,hydroxyproline-rich glycoprotein family protein
Bradi1g01320,-0.245863663,0.894867471,-0.459336214,0.968398584,-0.648617013,0.510969536,NA
Bradi1g01330,0.314269434,NA,0.088775089,0.991460234,-0.26107814,0.846019692,Protein of unknown function (DUF565)
Bradi1g01332,0.896533822,NA,0.090592855,NA,-1.675292738,NA,Ribonuclease H-like superfamily protein
Bradi1g01334,NA,NA,NA,NA,2.515700067,NA,NA
Bradi1g01336,0.338920097,NA,-0.318202571,NA,-0.777792527,NA,NA
Bradi1g01338,0.188576322,NA,-0.431456503,NA,-0.469827292,NA,NA
Bradi1g01342,NA,NA,-2.713868451,NA,1.07323972,NA,NA
Bradi1g01344,-0.806120517,NA,NA,NA,NA,NA,NA
Bradi1g01350,NA,NA,-1.778021728,NA,-0.433899236,NA,heat shock factor 3
Bradi1g01357,0.45828733,NA,0.180422681,0.983085042,-0.306517226,0.701728825,heat shock protein 101
Bradi1g01363,1.042970742,0.890626694,0.084800924,0.990441916,0.461606404,0.256678394,Tetratricopeptide repeat (TPR)-like superfamily protein
Bradi1g01368,0.898399885,NA,-0.061206016,0.994447684,-0.050995198,0.978637731,Concanavalin A-like lectin protein kinase family protein
Bradi1g01374,0.873699591,NA,-0.899590859,0.932362976,-0.227827614,0.904950105,NB-ARC domain-containing disease resistance protein
Bradi1g01380,0.67932872,0.890626694,-1.245577898,0.823086346,-0.979780943,0.195933495,NB-ARC domain-containing disease resistance protein
Bradi1g01387,0.637457651,NA,0.669035329,0.77692813,-0.09636574,0.89592328,NB-ARC domain-containing disease resistance protein
Bradi1g01397,0.837942001,NA,0.722326811,0.903316764,0.219740286,0.894111156,NB-ARC domain-containing disease resistance protein
Bradi1g01407,0.774398773,NA,0.339518039,0.960146759,-0.27379189,0.736800171,NB-ARC domain-containing disease resistance protein
Bradi1g01420,-0.608031781,0.890626694,0.441038725,0.905328297,0.292745364,0.336902273,AFG1-like ATPase family protein
Bradi1g01432,0.373234147,NA,0.516125633,0.953908311,-0.299308047,0.694783643,Leucine-rich repeat protein kinase family protein
Bradi1g01442,-0.1087778,NA,-0.822529465,0.903316764,-0.348798543,0.849347255,Leucine-rich repeat protein kinase family protein
Bradi1g01450,0.191491557,NA,-0.531813184,NA,-0.331829945,NA,Eukaryotic aspartyl protease family protein
Bradi1g01455,0.529630253,NA,-1.320964172,NA,0.989939381,NA,Eukaryotic aspartyl protease family protein
Bradi1g01460,-1.71552934,0.890626694,-0.139902082,0.983840524,-0.259620108,0.828139298,homolog of bacterial PANC
Bradi1g01470,0.738027295,NA,0.308476089,0.968998471,0.202598089,NA,Pentatricopeptide repeat (PPR) superfamily protein
Bradi1g01480,-0.693309947,0.890626694,-0.282492828,0.960146759,-0.288116423,0.488694935,ankyrin repeat-containing protein 2
Bradi1g01487,-0.644483828,0.890626694,-0.081422995,0.987688129,-0.221148404,0.760070378,transducin family protein / WD-40 repeat family protein
Bradi1g01500,1.365499957,0.890626694,-0.400369171,0.962725578,0.363920355,0.602006014,NA
Bradi1g01507,-0.158407393,0.893141489,0.007065977,0.999003735,0.039399691,0.94994888,gametophytic factor 2
Bradi1g01520,1.52747322,NA,-0.635236493,0.959843085,0.009549376,NA,FRIGIDA-like protein
Bradi1g01530,0.407521614,0.890626694,0.162708036,0.975311399,0.046967482,0.933486787,U2 small nuclear ribonucleoprotein A
Bradi1g01541,NA,NA,1.009291499,NA,1.653211882,NA,NA
Bradi1g01551,NA,NA,-2.164986234,NA,-0.431317035,NA,NB-ARC domain-containing disease resistance protein
Bradi1g01560,-0.372496881,0.890626694,0.110128641,0.984862487,0.191100164,0.643412367,"26S proteasome regulatory subunit, putative (RPN5)"
Bradi1g01570,-0.944348973,0.890626694,0.246288278,0.968398584,0.017612686,0.973952723,CAX interacting protein 1
Bradi1g01580,0.184185666,0.890626694,-0.368032797,0.965805907,0.012186198,0.984158061,GTP binding Elongation factor Tu family protein
Bradi1g01590,NA,NA,0.066773627,NA,NA,NA,NA
Bradi1g01593,NA,NA,-2.61519878,NA,1.32964757,NA,NA
Bradi1g01594,-0.806120517,NA,-0.557739345,NA,3.490784952,NA,Cysteine proteinases superfamily protein
Bradi1g01596,0.253069717,NA,-0.51664037,NA,0.06036872,NA,NA
Bradi1g01598,NA,NA,0.341475603,NA,NA,NA,Cysteine proteinases superfamily protein
Bradi1g01600,-1.031184681,0.890626694,-0.830121701,0.904187787,-0.219024433,0.76074158,basic transcription factor 3
Bradi1g01610,0.738903116,NA,-0.751473103,0.930537095,-0.111297326,0.94728903,plantacyanin
Bradi1g01620,0.631075913,0.890626694,0.079660371,0.990441916,0.281063506,0.584637092,"transferases, transferring glycosyl groups"
Bradi1g01630,0.441390586,0.890626694,-0.200727249,0.984862487,-0.270207186,0.70635268,Sec14p-like phosphatidylinositol transfer family protein
Bradi1g01640,0.052968805,NA,1.124611021,0.938402228,-0.200590745,NA,Aspartate kinase family protein
Bradi1g01645,-0.265300731,NA,-1.655950312,0.654042543,-0.214124287,NA,NA
Bradi1g01650,NA,NA,0.209853399,NA,2.072214744,NA,NAC domain containing protein  2
Bradi1g01656,0.191491557,NA,1.650057099,NA,0.34714682,NA,aspartate kinase 1
Bradi1g01660,-0.609830447,0.890626694,0.064743075,0.992896227,0.362143082,0.200719557,NA
Bradi1g01670,0.688291515,NA,-1.568240571,0.862889695,-0.396890862,NA,NA
Bradi1g01680,1.985433582,NA,0.085456993,NA,1.486406493,NA,NA
Bradi1g01683,NA,NA,NA,NA,1.642309213,NA,NAC domain containing protein 35
Bradi1g01686,0.00848332,NA,0.085238217,NA,0.723593945,NA,NA
Bradi1g01691,0.604267116,NA,-0.685334784,0.960146759,-0.044925468,NA,NA
Bradi1g01692,-8.542783385,0.00123922,-0.561691773,NA,-0.427816602,0.678887467,photosystem II reaction center protein B
Bradi1g01693,0.820895874,NA,0.523016663,0.896526266,0.18542027,0.830045622,NA
Bradi1g01695,NA,NA,-2.606074691,NA,2.597568854,NA,purple acid phosphatase 15
Bradi1g01700,0.65567692,NA,-1.43262257,0.59065002,-1.737763591,NA,purple acid phosphatase 15
Bradi1g01710,-0.150397701,0.920538755,0.140285645,0.984230996,0.437672231,0.390236432,protein binding
Bradi1g01715,-0.874737217,NA,-0.296645956,NA,-0.777532745,NA,NA
Bradi1g01720,1.064211686,0.890626694,-0.669172087,0.928972536,0.362027104,0.630666228,B-cell receptor-associated protein 31-like 
Bradi1g01730,0.464285821,0.890626694,0.320887674,0.932412457,0.223318909,0.715407722,RPM1 interacting protein 4
Bradi1g01740,-0.21126269,0.890626694,0.043672035,0.994690731,-0.616129331,0.02984538,NA
Bradi1g01750,0.322623797,0.890626694,0.26367273,0.962725578,0.312382716,0.330599237,Nucleotide-diphospho-sugar transferase family protein
Bradi1g01760,0.218225775,NA,0.320812389,0.982691912,1.066531398,0.39415276,NA
Bradi1g01770,0.97658683,0.890626694,0.080226508,0.989256468,-0.018284521,0.980199519,S-adenosylmethionine carrier 1
Bradi1g01780,0.32489146,NA,-0.430340391,0.959773081,-0.285936803,0.858938566,NAD(P)-binding Rossmann-fold superfamily protein
Bradi1g01790,0.115909621,NA,-1.183071177,0.262009599,-0.769917195,0.215315684,Sterile alpha motif (SAM) domain-containing protein
Bradi1g01795,NA,NA,0.058470848,NA,NA,NA,NA
Bradi1g01800,0.618432902,0.890626694,0.414959264,0.926372051,0.065290197,0.893138903,aspartate kinase 1
Bradi1g01801,NA,NA,-0.914261853,NA,1.065728275,NA,NAC domain containing protein 28
Bradi1g01802,0.530903986,NA,0.174165848,0.983436872,0.441107405,0.669941345,NA
Bradi1g01805,NA,NA,NA,NA,1.092593621,NA,purple acid phosphatase 15
Bradi1g01807,NA,NA,-1.862959269,NA,-2.899456987,NA,NAC domain containing protein 35
Bradi1g01810,1.150443186,NA,0.409666158,0.953071956,-0.668043397,0.351897151,NA
Bradi1g01820,0.46154977,NA,-0.245076208,0.9825463,-0.812198985,0.426778104,ROP-interactive CRIB motif-containing protein 4
Bradi1g01830,-0.577795306,0.890626694,0.331153315,0.942149224,0.590213312,0.102033444,NA
Bradi1g01835,0.281034732,NA,-0.213739756,0.987552839,0.777216683,NA,NA
Bradi1g01840,-0.124645303,0.895167425,-0.38742993,0.952284038,-0.538095979,0.017888564,Protein kinase superfamily protein
Bradi1g01847,-0.659169598,0.890626694,0.213466737,0.962725578,-0.004714307,0.994407426,AMP-dependent synthetase and ligase family protein
Bradi1g01860,-0.01149307,NA,-2.012745083,NA,-0.888562293,NA,Hyaluronan / mRNA binding family
Bradi1g01870,0.190299206,0.890626694,-0.358084565,0.932362976,0.440244614,0.247357575,RmlC-like cupins superfamily protein
Bradi1g01873,NA,NA,-3.615553653,NA,1.690159627,NA,NA
Bradi1g01876,0.194270482,NA,-0.226797059,0.984862487,-0.587561991,NA,NA
Bradi1g01880,-0.523967806,0.890626694,0.039007372,0.995826773,-0.044987137,0.921357336,Nucleic acid-binding proteins superfamily
Bradi1g01890,0.463569092,NA,-1.158807254,0.857263131,0.330352563,NA,NA
Bradi1g01900,-0.43104512,0.890626694,-0.481767838,0.92125375,-0.094613083,0.898131291,OxaA/YidC-like membrane insertion protein
Bradi1g01910,0.76788491,NA,-1.532143526,NA,NA,NA,NA
Bradi1g01920,1.123769384,0.890626694,-2.744049319,0.782590564,-2.388177726,0.046427105,GDSL-like Lipase/Acylhydrolase superfamily protein
Bradi1g01930,0.113494426,0.929086924,0.181622174,0.974362394,0.381452812,0.560688777,Protein phosphatase 2A regulatory B subunit family protein
Bradi1g01936,-2.213434867,0.460745153,-0.42563443,0.914658908,-0.545181969,0.058780355,Protein kinase superfamily protein
Bradi1g01942,0.196899636,NA,-0.2569425,0.977561525,-0.184704446,0.908248991,Poly (ADP-ribose) glycohydrolase (PARG)
Bradi1g01946,-0.768717007,NA,1.230062092,NA,1.552303816,NA,zinc knuckle (CCHC-type) family protein
Bradi1g01948,0.386148797,NA,-0.270279404,0.96403154,-0.314429969,0.705633548,Poly (ADP-ribose) glycohydrolase (PARG)
Bradi1g01950,1.061816204,NA,0.040865934,0.997136385,1.139574775,0.000498824,NA
Bradi1g01958,0.417560789,NA,0.347414239,0.959544101,1.385785195,7.35E-09,NA
Bradi1g01965,0.438745113,NA,0.607895414,0.845299959,-0.073340384,0.916100491,NA
Bradi1g01970,1.205472367,0.890626694,0.239983787,0.962725578,0.35567752,0.374891871,Tetratricopeptide repeat (TPR)-like superfamily protein
Bradi1g01980,0.819141659,NA,-0.008416218,0.999003735,-0.205254252,0.806901744,Poly (ADP-ribose) glycohydrolase (PARG)
Bradi1g01985,0.395968478,NA,-0.196842409,0.987688129,0.467638756,0.689512745,EF-TU receptor
Bradi1g01990,-0.548742218,0.890626694,0.244768562,0.962725578,0.089737535,0.882702853,FAR1-related sequence 6
Bradi1g02000,-0.820880674,0.890626694,0.170951521,0.968998471,-0.252486982,0.500581563,NA
Bradi1g02010,0.354446283,NA,-2.076067509,0.793175513,0.827829209,NA,zinc ion binding
Bradi1g02020,0.16812793,0.890626694,0.003236007,0.999633569,0.435015019,0.03700829,LUC7 related protein
Bradi1g02030,1.180395603,0.890626694,0.08343416,0.990618257,0.030546145,0.949209275,Translation elongation  factor EF1B/ribosomal protein S6 family protein
Bradi1g02040,-2.400666284,NA,-0.570126151,NA,-0.12837694,NA,NA
